Accuracy;Parameter;TestFehle;dauer;name;seed
0.6176774152095708;criterion =gini ,splitter =best,max_depth =9;0.38232258479042924;0.05843544006347656;DecisionTreeClassifier;10
0.6369988132279245;criterion =entropy ,splitter =random,max_depth =15;0.3630011867720755;0.005808830261230469;DecisionTreeClassifier;10
0.5815179004788048;criterion =entropy ,splitter =best,max_depth =15;0.4184820995211952;0.14576077461242676;DecisionTreeClassifier;10
0.6831862124334749;criterion =gini ,splitter =random,max_depth =15;0.3168137875665251;0.004994869232177734;DecisionTreeClassifier;10
0.6451470662514661;criterion =gini ,splitter =best,max_depth =15;0.3548529337485339;0.058732032775878906;DecisionTreeClassifier;10
0.6871850713962676;criterion =entropy ,splitter =random,max_depth =20;0.3128149286037324;0.005892038345336914;DecisionTreeClassifier;10
0.5960301895758032;criterion =entropy ,splitter =best,max_depth =20;0.4039698104241968;0.14791512489318848;DecisionTreeClassifier;10
0.6317569367910167;criterion =gini ,splitter =random,max_depth =20;0.36824306320898326;0.005373477935791016;DecisionTreeClassifier;10
0.6507839550622557;criterion =gini ,splitter =best,max_depth =20;0.3492160449377443;0.05767321586608887;DecisionTreeClassifier;10
0.6648424343598529;criterion =entropy ,splitter =random,max_depth =23;0.3351575656401471;0.00661158561706543;DecisionTreeClassifier;10
0.5763654643595919;criterion =entropy ,splitter =best,max_depth =23;0.4236345356404081;0.1509397029876709;DecisionTreeClassifier;10
0.6589516586689009;criterion =gini ,splitter =random,max_depth =23;0.34104834133109907;0.005489349365234375;DecisionTreeClassifier;10
0.6391425317082705;criterion =gini ,splitter =best,max_depth =23;0.3608574682917295;0.06592869758605957;DecisionTreeClassifier;10
0.6619177081164642;criterion =entropy ,splitter =random,max_depth =24;0.3380822918835358;0.005343437194824219;DecisionTreeClassifier;10
0.5978209245404389;criterion =entropy ,splitter =best,max_depth =24;0.4021790754595611;0.14400076866149902;DecisionTreeClassifier;10
0.6250254804760925;criterion =gini ,splitter =random,max_depth =24;0.3749745195239075;0.004682302474975586;DecisionTreeClassifier;10
0.6177386638542376;criterion =gini ,splitter =best,max_depth =24;0.3822613361457624;0.05498909950256348;DecisionTreeClassifier;10
0.6753407619068235;criterion =entropy ,splitter =random,max_depth =25;0.32465923809317654;0.005891323089599609;DecisionTreeClassifier;10
0.5687821377644584;criterion =entropy ,splitter =best,max_depth =25;0.4312178622355416;0.15120744705200195;DecisionTreeClassifier;10
0.6298523076795741;criterion =gini ,splitter =random,max_depth =25;0.3701476923204259;0.005695819854736328;DecisionTreeClassifier;10
0.628406035325994;criterion =gini ,splitter =best,max_depth =25;0.37159396467400596;0.061756134033203125;DecisionTreeClassifier;10
0.6786864691217483;criterion =entropy ,splitter =random,max_depth =26;0.32131353087825165;0.006686210632324219;DecisionTreeClassifier;10
0.6037363397589232;criterion =entropy ,splitter =best,max_depth =26;0.39626366024107684;0.15755105018615723;DecisionTreeClassifier;10
0.6302612076424556;criterion =gini ,splitter =random,max_depth =26;0.36973879235754437;0.005641937255859375;DecisionTreeClassifier;10
0.6450905051654934;criterion =gini ,splitter =best,max_depth =26;0.3549094948345066;0.06177210807800293;DecisionTreeClassifier;10
0.645707626114164;criterion =entropy ,splitter =random,max_depth =27;0.354292373885836;0.006508827209472656;DecisionTreeClassifier;10
0.5902375050960952;criterion =entropy ,splitter =best,max_depth =27;0.4097624949039048;0.14853620529174805;DecisionTreeClassifier;10
0.611466681140532;criterion =gini ,splitter =random,max_depth =27;0.38853331885946796;0.005315542221069336;DecisionTreeClassifier;10
0.6362527671717453;criterion =gini ,splitter =best,max_depth =27;0.3637472328282547;0.05499410629272461;DecisionTreeClassifier;10
0.684371952556282;criterion =entropy ,splitter =random,max_depth =29;0.315628047443718;0.005751609802246094;DecisionTreeClassifier;10
0.5881355926358162;criterion =entropy ,splitter =best,max_depth =29;0.41186440736418384;0.15003466606140137;DecisionTreeClassifier;10
0.6521187022503041;criterion =gini ,splitter =random,max_depth =29;0.3478812977496959;0.004554271697998047;DecisionTreeClassifier;10
0.647979675467074;criterion =gini ,splitter =best,max_depth =29;0.352020324532926;0.05688881874084473;DecisionTreeClassifier;10
0.628842994320175;criterion =entropy ,splitter =random,max_depth =30;0.371157005679825;0.006291866302490234;DecisionTreeClassifier;10
