Acuracy;Parameter;TestFehle;name
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6542432009441546; n_neighbors =3,weights =uniform,n_jobs =-1,algorithm =brute;0.34575679905584544;KNeighborsClassification
0.6297586334378975;C =1.0kenel =sigmoidgamma =autoclass_weight = coef0 =0.0 max_iter :-1;0.3702413665621025;SVC
0.6297586334378975;C =1.0kenel =sigmoidgamma =autoclass_weight = coef0 =0.0 max_iter :-1;0.3702413665621025;SVC
0.6297586334378975;C =1.0  kenel =sigmoid  gamma =auto  class_weight =  coef0 =0.0  max_iter :-1;0.3702413665621025;SVC
0.6297586334378975;C =1.0  kenel =sigmoid  gamma =auto  class_weight =  coef0 =0.0  max_iter :-1;0.3702413665621025;SVC
0.6297586334378975;C =1.0  kenel =sigmoid  gamma =auto  class_weight =  coef0 =0.0  max_iter :-1;0.3702413665621025;SVC
0.5693171004263424;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.9;0.4306828995736576;MLPClassifier
0.6573981507832972;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.9;0.3426018492167028;MLPClassifier
0.4285209402027742;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.9;0.5714790597972258;MLPClassifier
0.6211047872840514;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.8;0.3788952127159486;MLPClassifier
0.6270061769661377;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.8;0.3729938230338623;MLPClassifier
0.5761197800439352;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.8;0.42388021995606484;MLPClassifier
0.6213538433524528;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.7;0.3786461566475472;MLPClassifier
0.6106552400592451;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.7;0.3893447599407549;MLPClassifier
0.5836103874178391;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.7;0.4163896125821609;MLPClassifier
0.6516755992912475;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.6;0.3483244007087525;MLPClassifier
0.637058929112228;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.6;0.36294107088777205;MLPClassifier
0.539351474265064;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.6;0.460648525734936;MLPClassifier
0.6316194562920037;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.5;0.36838054370799633;MLPClassifier
0.6222075918395412;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.5;0.3777924081604588;MLPClassifier
0.5568904274268289;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.5;0.4431095725731711;MLPClassifier
0.65232532092401;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.4;0.34767467907599003;MLPClassifier
0.6201666123366146;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.4;0.37983338766338537;MLPClassifier
0.5111177909485709;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.4;0.4888822090514291;MLPClassifier
0.644595353592076;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.3;0.355404646407924;MLPClassifier
0.6435534793411039;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.3;0.35644652065889615;MLPClassifier
0.6232446856826094;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.3;0.3767553143173906;MLPClassifier
0.6231873924142938;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.2;0.3768126075857062;MLPClassifier
0.6289991109820774;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.2;0.3710008890179226;MLPClassifier
0.5581410664946781;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.2;0.4418589335053219;MLPClassifier
0.6192562099143432;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=adaptivemomentum = 0.1;0.38074379008565684;MLPClassifier
0.558374316974682;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=constantmomentum = 0.1;0.441625683025318;MLPClassifier
0.5289941873211061;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-05learning_rate=invscalingmomentum = 0.1;0.47100581267889385;MLPClassifier
0.6156273311783826;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.9;0.38437266882161736;MLPClassifier
0.6268833533781514;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.9;0.3731166466218486;MLPClassifier
0.5739670021335157;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.9;0.4260329978664843;MLPClassifier
0.6134690406777165;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.8;0.38653095932228354;MLPClassifier
0.6127305605057448;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.8;0.3872694394942552;MLPClassifier
0.5124380112144867;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.8;0.48756198878551327;MLPClassifier
0.6555309027638504;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.7;0.3444690972361496;MLPClassifier
0.6123228357485802;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.7;0.38767716425141985;MLPClassifier
0.336759187986437;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.7;0.663240812013563;MLPClassifier
0.6544715489858637;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.6;0.3455284510141363;MLPClassifier
0.6093537408469248;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.6;0.39064625915307516;MLPClassifier
0.6101924583733116;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.6;0.3898075416266884;MLPClassifier
0.609546238482188;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.5;0.39045376151781197;MLPClassifier
0.6351653623209629;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.5;0.3648346376790371;MLPClassifier
0.546379857048295;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.5;0.45362014295170505;MLPClassifier
0.612563288674455;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.4;0.387436711325545;MLPClassifier
0.6358098499111089;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.4;0.3641901500888911;MLPClassifier
0.5627832166192234;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.4;0.43721678338077663;MLPClassifier
0.6102863634115961;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.3;0.38971363658840386;MLPClassifier
0.6252756427765118;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.3;0.3747243572234882;MLPClassifier
0.4928528179788329;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.3;0.507147182021167;MLPClassifier
0.6496152594015927;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.2;0.3503847405984073;MLPClassifier
0.6092453141921768;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.2;0.39075468580782324;MLPClassifier
0.5338283973632099;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.2;0.46617160263679014;MLPClassifier
0.6465320899603795;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=adaptivemomentum = 0.1;0.3534679100396205;MLPClassifier
0.6379741543877565;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=constantmomentum = 0.1;0.3620258456122435;MLPClassifier
0.439005740946247;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =0.001learning_rate=invscalingmomentum = 0.1;0.560994259053753;MLPClassifier
0.6290421930155747;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.9;0.37095780698442526;MLPClassifier
0.6404147940307402;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.9;0.3595852059692598;MLPClassifier
0.3588236620534934;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.9;0.6411763379465065;MLPClassifier
0.6249506227900562;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.8;0.3750493772099438;MLPClassifier
0.6191580285067236;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.8;0.38084197149327637;MLPClassifier
0.625073536574418;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.8;0.374926463425582;MLPClassifier
0.6680398322050298;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.7;0.3319601677949702;MLPClassifier
0.6418627058360875;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.7;0.3581372941639125;MLPClassifier
0.4459484451312103;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.7;0.5540515548687897;MLPClassifier
0.6429138225627188;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.6;0.3570861774372812;MLPClassifier
0.6309930955205083;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.6;0.3690069044794917;MLPClassifier
0.6251771403759088;criterion =entropy,splitter =random,max_depth =3;0.37482285962409123;DecisionTreeClassifier
0.5887129608583809;criterion =entropy,splitter =best,max_depth =3;0.4112870391416191;DecisionTreeClassifier
0.6133218959023468;criterion =gini,splitter =random,max_depth =3;0.38667810409765324;DecisionTreeClassifier
0.5659539057258993;criterion =gini,splitter =best,max_depth =3;0.4340460942741007;DecisionTreeClassifier
0.5694322307940614;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.6;0.43056776920593864;MLPClassifier
0.6368519920983731;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.5;0.36314800790162693;MLPClassifier
0.6135643119258072;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.5;0.3864356880741928;MLPClassifier
0.549518858045973;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.5;0.450481141954027;MLPClassifier
0.6066860371341661;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.4;0.39331396286583387;MLPClassifier
0.6307896655539618;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.4;0.36921033444603824;MLPClassifier
0.5865741527748332;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.4;0.41342584722516684;MLPClassifier
0.6115120340004259;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.3;0.38848796599957414;MLPClassifier
0.6215201628161303;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.3;0.3784798371838697;MLPClassifier
0.6056629714803305;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.3;0.39433702851966945;MLPClassifier
0.6135115284762691;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.2;0.3864884715237309;MLPClassifier
0.6126348780682951;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.2;0.3873651219317049;MLPClassifier
0.5207286710508472;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.2;0.4792713289491528;MLPClassifier
0.6347818181509488;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=adaptivemomentum = 0.1;0.3652181818490512;MLPClassifier
0.6358809803645673;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=constantmomentum = 0.1;0.3641190196354327;MLPClassifier
0.536734683753468;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-06learning_rate=invscalingmomentum = 0.1;0.463265316246532;MLPClassifier
0.6365833050541168;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.9;0.36341669494588325;MLPClassifier
0.6356221326837497;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.9;0.3643778673162503;MLPClassifier
0.567451404315122;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.9;0.432548595684878;MLPClassifier
0.6483663658988938;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.8;0.35163363410110615;MLPClassifier
0.632972778627746;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.8;0.36702722137225396;MLPClassifier
0.577186835000693;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.8;0.422813164999307;MLPClassifier
0.6261053433181781;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.7;0.37389465668182187;MLPClassifier
0.6279543265715763;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.7;0.37204567342842365;MLPClassifier
0.6066955555046211;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.7;0.39330444449537894;MLPClassifier
0.6437999011447724;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.6;0.35620009885522763;MLPClassifier
0.597999492141349;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.6;0.40200050785865105;MLPClassifier
0.5461075701075204;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.6;0.4538924298924796;MLPClassifier
0.5970288915969024;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.5;0.4029711084030976;MLPClassifier
0.6146379246896342;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.5;0.3853620753103658;MLPClassifier
0.6129690556397035;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.5;0.3870309443602965;MLPClassifier
0.67247960288552;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.4;0.32752039711448;MLPClassifier
0.6185966064727889;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.4;0.3814033935272111;MLPClassifier
0.6621238174459315; n_neighbors =2,weights =uniform,n_jobs =-1,algorithm =auto;0.3378761825540685;KNeighborsClassification
0.6621238174459315; n_neighbors =2,weights =uniform,n_jobs =-1,algorithm =ball_tree;0.3378761825540685;KNeighborsClassification
0.6621238174459315; n_neighbors =2,weights =uniform,n_jobs =-1,algorithm =kd_tree;0.3378761825540685;KNeighborsClassification
0.6621238174459315; n_neighbors =2,weights =uniform,n_jobs =-1,algorithm =brute;0.3378761825540685;KNeighborsClassification
0.6638810815967348; n_neighbors =2,weights =distance,n_jobs =-1,algorithm =auto;0.33611891840326524;KNeighborsClassification
0.5474687713619504;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.4;0.4525312286380496;MLPClassifier
0.6367994845436307;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.3;0.36320051545636933;MLPClassifier
0.5784207559050506;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.3;0.4215792440949494;MLPClassifier
0.5580294299100943;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.3;0.4419705700899057;MLPClassifier
0.6105793238922134;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.2;0.38942067610778663;MLPClassifier
0.6349012301936717;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.2;0.36509876980632827;MLPClassifier
0.592435057548471;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.2;0.40756494245152897;MLPClassifier
0.619237356219019;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=adaptivemomentum = 0.1;0.380762643780981;MLPClassifier
0.5802062462157315;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=constantmomentum = 0.1;0.41979375378426853;MLPClassifier
0.5434893152312391;hidden_layer_sizes =(50,)activation = relusolver = sgd alpha =1e-07learning_rate=invscalingmomentum = 0.1;0.4565106847687609;MLPClassifier
0.62820274595968;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=adaptivemomentum = 0.9;0.37179725404032005;MLPClassifier
0.5840564111477626;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=constantmomentum = 0.9;0.41594358885223737;MLPClassifier
0.6320399305721358;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=invscalingmomentum = 0.9;0.3679600694278642;MLPClassifier
0.580079883746422;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=adaptivemomentum = 0.8;0.41992011625357795;MLPClassifier
0.5440989260052279;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=constantmomentum = 0.8;0.4559010739947721;MLPClassifier
0.6531784751761535;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=invscalingmomentum = 0.8;0.34682152482384654;MLPClassifier
0.6046886834958248;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=adaptivemomentum = 0.7;0.39531131650417517;MLPClassifier
0.60256714536536;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=constantmomentum = 0.7;0.39743285463463995;MLPClassifier
0.6591396093457028;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=invscalingmomentum = 0.7;0.3408603906542972;MLPClassifier
0.5795487783060101;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=adaptivemomentum = 0.6;0.42045122169398985;MLPClassifier
0.631820872757108;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=constantmomentum = 0.6;0.36817912724289203;MLPClassifier
0.5848537762887948;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=invscalingmomentum = 0.6;0.41514622371120524;MLPClassifier
0.6735155480512172;hidden_layer_sizes =(50,)activation = relusolver = lbfgs alpha =1e-05learning_rate=adaptivemomentum = 0.5;0.32648445194878284;MLPClassifier
